date,label,artist,actual_name,monthly_listeners,url
2024-01-29,HYBE,LE SSERAFIM,,13270000.0,
2024-01-29,HYBE,NewJeans,,21000000.0,
2024-01-29,HYBE,SEVENTEEN,,7280000.0,
2024-01-29,HYBE,TXT,,9800000.0,
2024-01-29,JYP,NMIXX,,4870000.0,
2024-01-29,JYP,Stray Kids,,9250000.0,
2024-01-29,JYP,TWICE,,9730000.0,
2024-01-29,SM,NCT 127,,4360000.0,
2024-01-29,SM,NCT DREAM,,4490000.0,
2024-01-29,SM,RIIZE,,3330000.0,
2024-01-29,SM,aespa,,9180000.0,
2024-01-29,YG,BABYMONSTER,,4340000.0,
2024-01-29,YG,TREASURE,,2970000.0,
2024-02-05,HYBE,BOYNEXTDOOR,,1000000.0,
2024-02-05,HYBE,BTS,,30700000.0,
2024-02-05,HYBE,ENHYPEN,,8990000.0,
2024-02-05,HYBE,Jungkook,,33490000.0,
2024-02-05,HYBE,LE SSERAFIM,,13220000.0,
2024-02-05,HYBE,NewJeans,,20430000.0,
2024-02-05,HYBE,SEVENTEEN,,7220000.0,
2024-02-05,HYBE,TXT,,9660000.0,
2024-02-05,JYP,NMIXX,,5080000.0,
2024-02-05,JYP,Stray Kids,,9190000.0,
2024-02-05,JYP,TWICE,,9960000.0,
2024-02-05,SM,NCT 127,,4250000.0,
2024-02-05,SM,NCT DREAM,,4440000.0,
2024-02-05,SM,RIIZE,,3500000.0,
2024-02-05,SM,aespa,,9120000.0,
2024-02-05,YG,BABYMONSTER,,4370000.0,
2024-02-05,YG,TREASURE,,2930000.0,
2024-02-12,HYBE,BOYNEXTDOOR,,1000000.0,
2024-02-12,HYBE,BTS,,30760000.0,
2024-02-12,HYBE,ENHYPEN,,8830000.0,
2024-02-12,HYBE,Jungkook,,32840000.0,
2024-02-12,HYBE,LE SSERAFIM,,13100000.0,
2024-02-12,HYBE,NewJeans,,19990000.0,
2024-02-12,HYBE,SEVENTEEN,,7180000.0,
2024-02-12,HYBE,TXT,,9480000.0,
2024-02-12,JYP,NMIXX,,5230000.0,
2024-02-12,JYP,Stray Kids,,9120000.0,
2024-02-12,JYP,TWICE,,10920000.0,
2024-02-12,SM,NCT 127,,4150000.0,
2024-02-12,SM,NCT DREAM,,4350000.0,
2024-02-12,SM,RIIZE,,3490000.0,
2024-02-12,SM,aespa,,9010000.0,
2024-02-12,YG,BABYMONSTER,,4560000.0,
2024-02-12,YG,TREASURE,,2890000.0,
2024-02-19,HYBE,BOYNEXTDOOR,,1000000.0,
2024-02-19,HYBE,BTS,,30580000.0,
2024-02-19,HYBE,ENHYPEN,,8840000.0,
2024-02-19,HYBE,Jungkook,,32580000.0,
2024-02-19,HYBE,LE SSERAFIM,,12900000.0,
2024-02-19,HYBE,NewJeans,,19280000.0,
2024-02-19,HYBE,SEVENTEEN,,7070000.0,
2024-02-19,HYBE,TXT,,9300000.0,
2024-02-19,JYP,NMIXX,,5150000.0,
2024-02-19,JYP,Stray Kids,,8990000.0,
2024-02-19,JYP,TWICE,,11510000.0,
2024-02-19,SM,NCT 127,,4120000.0,
2024-02-19,SM,NCT DREAM,,4340000.0,
2024-02-19,SM,RIIZE,,3480000.0,
2024-02-19,SM,aespa,,8780000.0,
2024-02-19,YG,BABYMONSTER,,4540000.0,
2024-02-19,YG,TREASURE,,2870000.0,
2024-02-26,HYBE,BOYNEXTDOOR,,1020000.0,
2024-02-26,HYBE,BTS,,30330000.0,
2024-02-26,HYBE,ENHYPEN,,9370000.0,
2024-02-26,HYBE,Jungkook,,32120000.0,
2024-02-26,HYBE,LE SSERAFIM,,13460000.0,
2024-02-26,HYBE,NewJeans,,18740000.0,
2024-02-26,HYBE,SEVENTEEN,,6980000.0,
2024-02-26,HYBE,TXT,,9210000.0,
2024-02-26,JYP,NMIXX,,5090000.0,
2024-02-26,JYP,Stray Kids,,8870000.0,
2024-02-26,JYP,TWICE,,12110000.0,
2024-02-26,SM,NCT 127,,4090000.0,
2024-02-26,SM,NCT DREAM,,4300000.0,
2024-02-26,SM,RIIZE,,3490000.0,
2024-02-26,SM,aespa,,8640000.0,
2024-02-26,YG,BABYMONSTER,,4530000.0,
2024-02-26,YG,TREASURE,,2870000.0,
2024-03-04,HYBE,BOYNEXTDOOR,,1030000.0,
2024-03-04,HYBE,BTS,,30090000.0,
2024-03-04,HYBE,ENHYPEN,,9740000.0,
2024-03-04,HYBE,Jungkook,,31550000.0,
2024-03-04,HYBE,LE SSERAFIM,,14160000.0,
2024-03-04,HYBE,NewJeans,,18170000.0,
2024-03-04,HYBE,SEVENTEEN,,6890000.0,
2024-03-04,HYBE,TXT,,9160000.0,
2024-03-04,JYP,NMIXX,,5040000.0,
2024-03-04,JYP,Stray Kids,,8720000.0,
2024-03-04,JYP,TWICE,,12560000.0,
2024-03-04,SM,NCT 127,,4060000.0,
2024-03-04,SM,NCT DREAM,,4250000.0,
2024-03-04,SM,RIIZE,,3400000.0,
2024-03-04,SM,aespa,,8490000.0,
2024-03-04,YG,BABYMONSTER,,4390000.0,
2024-03-04,YG,TREASURE,,2870000.0,
2024-03-11,HYBE,BOYNEXTDOOR,,1050000.0,
2024-03-11,HYBE,BTS,,29840000.0,
2024-03-11,HYBE,ENHYPEN,,10050000.0,
2024-03-11,HYBE,Jungkook,,30910000.0,
2024-03-11,HYBE,LE SSERAFIM,,14890000.0,
2024-03-11,HYBE,NewJeans,,17700000.0,
2024-03-11,HYBE,SEVENTEEN,,6780000.0,
2024-03-11,HYBE,TXT,,9110000.0,
2024-03-11,JYP,NMIXX,,4970000.0,
2024-03-11,JYP,Stray Kids,,8580000.0,
2024-03-11,JYP,TWICE,,12360000.0,
2024-03-11,SM,NCT 127,,4010000.0,
2024-03-11,SM,NCT DREAM,,4230000.0,
2024-03-11,SM,RIIZE,,3320000.0,
2024-03-11,SM,aespa,,8420000.0,
2024-03-11,YG,BABYMONSTER,,4140000.0,
2024-03-11,YG,TREASURE,,2870000.0,
2024-03-18,HYBE,BOYNEXTDOOR,,1050000.0,
2024-03-18,HYBE,BTS,,29610000.0,
2024-03-18,HYBE,ENHYPEN,,10210000.0,
2024-03-18,HYBE,Jungkook,,29810000.0,
2024-03-18,HYBE,LE SSERAFIM,,15660000.0,
2024-03-18,HYBE,NewJeans,,17470000.0,
2024-03-18,HYBE,SEVENTEEN,,6690000.0,
2024-03-18,HYBE,TXT,,9060000.0,
2024-03-18,JYP,NMIXX,,4590000.0,
2024-03-18,JYP,Stray Kids,,8460000.0,
2024-03-18,JYP,TWICE,,12330000.0,
2024-03-18,SM,NCT 127,,3910000.0,
2024-03-18,SM,NCT DREAM,,4220000.0,
2024-03-18,SM,RIIZE,,3260000.0,
2024-03-18,SM,aespa,,8360000.0,
2024-03-18,YG,BABYMONSTER,,3940000.0,
2024-03-18,YG,TREASURE,,2830000.0,
2024-03-25,HYBE,BOYNEXTDOOR,,1040000.0,
2024-03-25,HYBE,BTS,,29290000.0,
2024-03-25,HYBE,ENHYPEN,,9970000.0,
2024-03-25,HYBE,Jungkook,,29020000.0,
2024-03-25,HYBE,LE SSERAFIM,,15910000.0,
2024-03-25,HYBE,NewJeans,,17150000.0,
2024-03-25,HYBE,SEVENTEEN,,6560000.0,
2024-03-25,HYBE,TXT,,8980000.0,
2024-03-25,JYP,NMIXX,,4860000.0,
2024-03-25,JYP,Stray Kids,,8370000.0,
2024-03-25,JYP,TWICE,,12280000.0,
2024-03-25,SM,NCT 127,,3840000.0,
2024-03-25,SM,NCT DREAM,,4340000.0,
2024-03-25,SM,RIIZE,,3160000.0,
2024-03-25,SM,aespa,,8250000.0,
2024-03-25,YG,BABYMONSTER,,3750000.0,
2024-03-25,YG,TREASURE,,2800000.0,
2024-04-01,HYBE,BOYNEXTDOOR,,1040000.0,
2024-04-01,HYBE,BTS,,28920000.0,
2024-04-01,HYBE,ENHYPEN,,9810000.0,
2024-04-01,HYBE,ILLIT,,2300000.0,
2024-04-01,HYBE,Jungkook,,28300000.0,
2024-04-01,HYBE,LE SSERAFIM,,15990000.0,
2024-04-01,HYBE,NewJeans,,16910000.0,
2024-04-01,HYBE,SEVENTEEN,,6450000.0,
2024-04-01,HYBE,TXT,,8830000.0,
2024-04-01,JYP,NMIXX,,4810000.0,
2024-04-01,JYP,Stray Kids,,8280000.0,
2024-04-01,JYP,TWICE,,12080000.0,
2024-04-01,SM,NCT 127,,3750000.0,
2024-04-01,SM,NCT DREAM,,4670000.0,
2024-04-01,SM,RIIZE,,3120000.0,
2024-04-01,SM,aespa,,8160000.0,
2024-04-01,YG,BABYMONSTER,,3670000.0,
2024-04-01,YG,TREASURE,,2730000.0,
2024-04-08,HYBE,BOYNEXTDOOR,,1070000.0,
2024-04-08,HYBE,BTS,,28460000.0,
2024-04-08,HYBE,ENHYPEN,,9680000.0,
2024-04-08,HYBE,ILLIT,,6260000.0,
2024-04-08,HYBE,Jungkook,,27600000.0,
2024-04-08,HYBE,LE SSERAFIM,,16000000.0,
2024-04-08,HYBE,NewJeans,,16680000.0,
2024-04-08,HYBE,SEVENTEEN,,6380000.0,
2024-04-08,HYBE,TXT,,9230000.0,
2024-04-08,JYP,NMIXX,,4780000.0,
2024-04-08,JYP,Stray Kids,,8220000.0,
2024-04-08,JYP,TWICE,,11890000.0,
2024-04-08,SM,NCT 127,,3730000.0,
2024-04-08,SM,NCT DREAM,,5020000.0,
2024-04-08,SM,RIIZE,,3270000.0,
2024-04-08,SM,aespa,,8210000.0,
2024-04-08,YG,BABYMONSTER,,4840000.0,
2024-04-08,YG,TREASURE,,2680000.0,
2024-04-15,HYBE,BOYNEXTDOOR,,1110000.0,
2024-04-15,HYBE,BTS,,28250000.0,
2024-04-15,HYBE,ENHYPEN,,9570000.0,
2024-04-15,HYBE,ILLIT,,10160000.0,
2024-04-15,HYBE,Jungkook,,27180000.0,
2024-04-15,HYBE,LE SSERAFIM,,15960000.0,
2024-04-15,HYBE,NewJeans,,16690000.0,
2024-04-15,HYBE,SEVENTEEN,,6340000.0,
2024-04-15,HYBE,TXT,,9880000.0,
2024-04-15,JYP,NMIXX,,4760000.0,
2024-04-15,JYP,Stray Kids,,8230000.0,
2024-04-15,JYP,TWICE,,11800000.0,
2024-04-15,SM,NCT 127,,3700000.0,
2024-04-15,SM,NCT DREAM,,5210000.0,
2024-04-15,SM,RIIZE,,3540000.0,
2024-04-15,SM,aespa,,8240000.0,
2024-04-15,YG,BABYMONSTER,,6500000.0,
2024-04-15,YG,TREASURE,,2660000.0,
2024-04-22,HYBE,BOYNEXTDOOR,,1390000.0,
2024-04-22,HYBE,BTS,,28090000.0,
2024-04-22,HYBE,ENHYPEN,,9440000.0,
2024-04-22,HYBE,ILLIT,,14040000.0,
2024-04-22,HYBE,Jungkook,,26650000.0,
2024-04-22,HYBE,LE SSERAFIM,,16040000.0,
2024-04-22,HYBE,NewJeans,,16720000.0,
2024-04-22,HYBE,SEVENTEEN,,6340000.0,
2024-04-22,HYBE,TXT,,10340000.0,
2024-04-22,JYP,NMIXX,,4780000.0,
2024-04-22,JYP,Stray Kids,,8260000.0,
2024-04-22,JYP,TWICE,,11660000.0,
2024-04-22,SM,NCT 127,,3700000.0,
2024-04-22,SM,NCT DREAM,,5350000.0,
2024-04-22,SM,RIIZE,,3840000.0,
2024-04-22,SM,aespa,,8310000.0,
2024-04-22,YG,BABYMONSTER,,8020000.0,
2024-04-22,YG,TREASURE,,2660000.0,
2024-04-29,HYBE,BOYNEXTDOOR,,1860000.0,
2024-04-29,HYBE,BTS,,27900000.0,
